(2, 3, 10, 7, 9), ['P', 'D', 'D', 'P', 'P'] 
(2, 3, 10, 9, 7), ['P', 'D', 'D', 'P', 'P'] 
(2, 4, 5, 6, 8), ['P', 'D', 'D', 'P', 'P'] 
(2, 4, 5, 7, 9), ['P', 'D', 'D', 'P', 'P'] 
(2, 4, 5, 8, 6), ['P', 'D', 'D', 'P', 'P'] 
(2, 4, 5, 9, 7), ['P', 'D', 'D', 'P', 'P'] 
(2, 4, 6, 5, 8), ['P', 'D', 'D', 'P', 'P'] 
(2, 4, 6, 8, 5), ['P', 'D', 'D', 'P', 'P'] 
(2, 4, 7, 5, 9), ['P', 'D', 'D', 'P', 'P'] 
(2, 4, 7, 8, 10), ['P', 'D', 'D', 'P', 'P'] 
(2, 4, 7, 9, 5), ['P', 'D', 'D', 'P', 'P'] 
(2, 4, 7, 10, 8), ['P', 'D', 'D', 'P', 'P'] 
(2, 4, 8, 5, 6), ['P', 'D', 'D', 'P', 'P'] 
(2, 4, 8, 6, 5), ['P', 'D', 'D', 'P', 'P'] 
(2, 4, 8, 7, 10), ['P', 'D', 'D', 'P', 'P'] 
(2, 4, 8, 10, 7), ['P', 'D', 'D', 'P', 'P'] 
(2, 4, 9, 5, 7), ['P', 'D', 'D', 'P', 'P'] 
(2, 4, 9, 7, 5), ['P', 'D', 'D', 'P', 'P'] 
(2, 4, 10, 7, 8), ['P', 'D', 'D', 'P', 'P'] 
(2, 4, 10, 8, 7), ['P', 'D', 'D', 'P', 'P'] 
(2, 5, 0, 1, 4), ['P', 'D', 'D', 'P', 'P'] 
(2, 5, 0, 4, 1), ['P', 'D', 'D', 'P', 'P'] 
(2, 5, 1, 0, 4), ['P', 'D', 'D', 'P', 'P'] 
(2, 5, 1, 4, 0), ['P', 'D', 'D', 'P', 'P'] 
(2, 5, 4, 0, 1), ['P', 'D', 'D', 'P', 'P'] 
(2, 5, 4, 1, 0), ['P', 'D', 'D', 'P', 'P'] 
(2, 5, 4, 6, 8), ['P', 'D', 'D', 'P', 'P'] 
(2, 5, 4, 8, 6), ['P', 'D', 'D', 'P', 'P'] 
