(8, 11, 12, 13, 14) ['P', 'D', 'D', 'P', 'S'] 
(9, 5, 11, 12, 8) ['P', 'D', 'D', 'P', 'S'] 
(0, 1, 2, 5, 6) ['P', 'D', 'P', 'D', 'P'] 
(0, 2, 3, 6, 7) ['P', 'D', 'P', 'D', 'P'] 
(0, 3, 4, 6, 7) ['P', 'D', 'P', 'D', 'P'] 
(2, 5, 6, 9, 10) ['P', 'D', 'P', 'D', 'P'] 
(3, 6, 7, 10, 11) ['P', 'D', 'P', 'D', 'P'] 
(3, 7, 8, 9, 10) ['P', 'D', 'P', 'D', 'P'] 
(4, 2, 3, 8, 9) ['P', 'D', 'P', 'D', 'P'] 
(4, 5, 6, 11, 12) ['P', 'D', 'P', 'D', 'P'] 
(4, 7, 8, 10, 11) ['P', 'D', 'P', 'D', 'P'] 
(5, 8, 9, 10, 11) ['P', 'D', 'P', 'D', 'P'] 
(6, 3, 4, 9, 10) ['P', 'D', 'P', 'D', 'P'] 
(6, 4, 5, 10, 11) ['P', 'D', 'P', 'D', 'P'] 
(6, 8, 9, 11, 12) ['P', 'D', 'P', 'D', 'P'] 
(7, 10, 11, 13, 14) ['P', 'D', 'P', 'D', 'P'] 
(8, 10, 11, 13, 14) ['P', 'D', 'P', 'D', 'P'] 
(9, 7, 8, 13, 14) ['P', 'D', 'P', 'D', 'P'] 
